FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Bobbi Boudman (D),"Boudman, Bobbi",Bobbi,Boudman,D,Carroll,7,Carroll-07,409310,31,139,4,27,0,0,48,7,0,15,F,0,15,F
Rep. Jean Jeudy (D),"Jeudy, Jean",Jean,Jeudy,D,Hillsborough,23,Hillsborough-23,376657,139,139,6,112,21,0,184,27,15,14,F,0,14,F
Rep. Sanjeev Manohar (D),"Manohar, Sanjeev",Sanjeev,Manohar,D,Hillsborough,9,Hillsborough-09,409262,139,139,5,109,25,0,184,27,18,14,F,-0,14,F
Rep. Linda DiSilvestro (D),"DiSilvestro, Linda",Linda,DiSilvestro,D,Hillsborough,17,Hillsborough-17,377091,139,139,7,107,25,0,184,26,18,14,F,0,14,F
Rep. Gregory Sargent (D),"Sargent, Gregory",Gregory,Sargent,D,Merrimack,7,Merrimack-07,409291,139,139,10,113,16,0,184,26,12,14,F,0,14,F
Rep. Toni Weinstein (D),"Weinstein, Toni",Toni,Weinstein,D,Rockingham,10,Rockingham-10,409307,139,139,5,110,24,0,184,27,17,14,F,-1,14,F
Rep. James Gruber (D),"Gruber, James",James,Gruber,D,Cheshire,16,Cheshire-16,409239,139,139,6,105,28,0,184,28,20,15,F,-1,14,F
Rep. Terry Spahr (D),"Spahr, Terry",Terry,Spahr,D,Grafton,12,Grafton-12,409298,139,139,11,121,7,0,184,26,5,14,F,-1,14,F
Rep. Gary Gilmore (D),"Gilmore, Gary",Gary,Gilmore,D,Strafford,16,Strafford-16,374074,139,139,9,114,16,0,184,25,12,14,F,0,14,F
Rep. Patrick Long (D),"Long, Patrick",Patrick,Long,D,Hillsborough,26,Hillsborough-26,409256,139,139,18,121,0,0,184,25,0,14,F,-0,13,F
Rep. Heath Howard (D),"Howard, Heath",Heath,Howard,D,Strafford,4,Strafford-04,409110,139,139,6,112,21,0,184,23,15,13,F,0,13,F
Rep. Mark Paige (D),"Paige, Mark",Mark,Paige,D,Rockingham,11,Rockingham-11,409042,139,139,6,117,16,0,184,24,12,13,F,0,13,F
Rep. Marc Plamondon (D),"Plamondon, Marc",Marc,Plamondon,D,Hillsborough,3,Hillsborough-03,409195,139,139,4,107,28,0,184,24,20,13,F,0,13,F
Rep. Kris Schultz (D),"Schultz, Kris",Kris,Schultz,D,Merrimack,29,Merrimack-29,408808,139,139,6,108,25,0,184,24,18,13,F,-1,12,CT
Rep. Billie Butler (D),"Butler, Billie",Billie,Butler,D,Strafford,12,Strafford-12,409309,139,139,10,120,9,0,184,23,6,13,F,-0,12,CT
Rep. Peter Schmidt (D),"Schmidt, Peter",Peter,Schmidt,D,Strafford,14,Strafford-14,376521,139,139,7,119,13,0,184,23,9,12,CT,0,12,CT
Rep. Marjorie Smith (D),"Smith, Marjorie",Marjorie,Smith,D,Strafford,10,Strafford-10,376166,139,139,6,115,18,0,184,24,13,13,F,-1,12,CT
Rep. Peter Leishman (D),"Leishman, Peter",Peter,Leishman,D,Hillsborough,33,Hillsborough-33,376139,139,139,12,124,3,0,184,23,2,13,F,-1,12,CT
Rep. John Larochelle (D),"Larochelle, John",John,Larochelle,D,Strafford,19,Strafford-19,409255,139,139,15,124,0,0,184,22,0,12,CT,0,12,CT
Rep. Jessica Grill (D),"Grill, Jessica",Jessica,Grill,D,Hillsborough,18,Hillsborough-18,409106,139,139,7,114,18,0,184,22,13,12,CT,0,12,CT
Rep. David Meuse (D),"Meuse, David",David,Meuse,D,Rockingham,37,Rockingham-37,408924,139,139,6,112,21,0,184,26,15,14,F,-2,12,CT
Rep. Peggy Balboni (D),"Balboni, Peggy",Peggy,Balboni,D,Rockingham,38,Rockingham-38,409063,139,139,6,105,28,0,184,27,20,14,F,-3,11,CT
Rep. Wayne Pearson (D),"Pearson, Wayne",Wayne,Pearson,D,Strafford,12,Strafford-12,409283,139,139,7,114,18,0,184,21,13,11,CT,0,11,CT
Rep. Timothy Soucy (D),"Soucy, Timothy",Timothy,Soucy,D,Merrimack,21,Merrimack-21,376869,139,139,8,117,14,0,184,21,10,11,CT,0,11,CT
Rep. Anita Burroughs (D),"Burroughs, Anita",Anita,Burroughs,D,Carroll,2,Carroll-02,408822,139,139,9,117,13,0,184,21,9,11,CT,-0,11,CT
Rep. Laurel Stavis (D),"Stavis, Laurel",Laurel,Stavis,D,Grafton,13,Grafton-13,408840,139,139,7,114,18,0,184,22,13,12,CT,-1,11,CT
